Initial Call Types,Priority
"ALARM - ATM MACHINE, FREE STANDING",2
ALARM - AUDIBLE AUTOMOBILE (UNOCC/ANTI-THEFT),2
ALARM - BANK (HOLD-UP),2
"ALARM - COMM, HOLD-UP/PANIC (EXCEPT BANKS)",2
"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",2
"ALARM - DURESS/PANIC,TAXI/CAR/PRSN - NOT DV",2
"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",2
ALARM - RESIDENTIAL - SILENT/AUD PANIC/DURESS,2
ALARM - TRACKING ALARM,2
ANIMAL - DANGEROUS,2
"ANIMAL - INJURED, DEAD HAZARD, OTHER",2
ANIMAL BITE,2
ARSON - REPORT,2
ASLT - CRITICAL (NO SHOOTINGS),2
ASLT - DV,2
ASLT - DV CRITICAL,2
"ASLT - MOLESTED ADULT (GROPED, FONDLED, ETC.)",2
ASLT - REPORT FOR PERSON SHOT OR SHOT AT,2
ASLT - WITH OR W/O WPNS (NO SHOOTINGS),2
ASSIST OTHER AGENCY - ROUTINE SERVICE,2
ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,2
ASSIST SPD,2
AUTO - THEFT/LOSS OF PLATES,2
AUTO RECOVERY,2
AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,2
AWOL - ADULT OR JUVENILE,2
BIAS,2
BOMB - THREATS,2
BURG - COMM BURGLARY,2
BURG - RESD (INCL UNOCC STRUCTURES ON PROP),2
BURN - RECKLESS BURNING,2
CARJACKING - ROBBERY,2
CHILD -  LURING,2
"CHILD - ABAND, ABUSE, MOLEST, NEGLECT",2
CUSTODIAL INTERFERENCE - DV,2
DEMONSTRATIONS,2
DETOX - REQUEST FOR,2
DISTURBANCE,2
DISTURBANCE - DV - NO ASLT,2
DISTURBANCE - DV CRITICAL,2
"DOA - CASUALTY, DEAD BODY",2
DOWN - CHECK FOR DOWN PERSON,2
DUI - DRIVING UNDER INFLUENCE,2
EXPLOSION,2
FIGHT - PHYSICAL (NO WEAPONS),2
FIGHT - WITH WEAPONS,2
FIREWORKS (NO HAZARD),2
FOLLOW UP,2
FOUND PERSON,2
FRAUD,2
HARAS - NO BIAS OR THREATS,2
"HARBOR - WATER DEBRIS, NAVIGATIONAL HAZARDS",2
HARBOR - WATER NON-EMERGENCIES,2
HAZ - POTENTIAL THRT TO PHYS SAFETY,2
ILLEGAL DUMPING,2
INFORMATIONAL BROADCASTS,2
INJURED -  PERSON/INDUSTRIAL ACCIDENT,2
JUVENILE - HARBORING A MINOR,2
JUVENILE - RUNAWAY,2
JUVENILE - RUNAWAY PICKUP,2
"LEWD -  (EXPOSING, FLASHING)",2
LIQUOR VIOLATIONS - ADULT,2
LIQUOR VIOLATIONS - MINOR,2
LITTERING,2
"MISSING - (ALZHEIMER, ENDANGERED, ELDERLY)",2
MISSING - ADULT,2
MISSING - CHILD,2
MVC - COLLISION (ALL),2
MVC - HIT AND RUN,2
NARCOTICS - FOUND,2
"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",2
NARCOTICS WARRANT SERVICE,2
NOISE - GENERAL,2
NUISANCE,2
OBS - ANIMAL - ASSIST ANIMAL CONTROL OFCR,2
OBS - FIGHT - VERBAL/ORAL (NO WEAPONS),2
"OBS - MVC - NON INJURY, BLOCKING",2
OBS - MVC - UNK INJURIES,2
OBS - PROWLER,2
"OBS - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",2
"OPEN - BUILDING, DOOR, ETC.",2
ORDER  - SERVICE OF DV COURT ORDER,2
ORDER - ASSIST DV VIC W/SRVC OF COURT ORDER,2
ORDER - VIOLATING DV COURT ORDER,2
ORDER - VIOLATION OF COURT ORDER (NON DV),2
OVERDOSE,2
"PANHANDLING, AGGRESSIVE",2
PARKING VIOLATION (EXCEPT ABANDONED CAR),2
PEACE-STANDBY TO ASSURE (NO COURT ORDR SVC),2
PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,2
POWER OUT - POLES AND TRANSFORMERS,2
PROPERTY - DAMAGE,2
PROPERTY - DAMAGE (GUN RELATED),2
PROPERTY - FOUND,2
"PROPERTY - FOUND GUN, SHELLCASINGS",2
RAPE,2
ROBBERY - CRITICAL (INCLUDES STRONG ARM),2
ROBBERY (INCL STRONG ARM),2
SERVICE - WELFARE CHECK,2
SEX IN PUBLIC PLACE (INCL MASTURBATION),2
SFD - ASSIST ON CRITICAL FIRE OR MEDIC RESPONSE,2
SFD - ASSIST ON FIRE OR MEDIC RESPONSE,2
